game_id,game_date,period,stint_id,home_team_id,away_team_id,home_lineup,away_lineup,home_possessions,away_possessions,n_pos,home_points,away_points,start_game_clock,end_game_clock,seconds_played
0022000001,2020-12-22,1,1,1610612751,1610612744,201142_201599_202681_203915_203925,201939_203952_1626162_1629672_1630164,13,11,24,18,8,0,2800,280
0022000001,2020-12-22,1,2,1610612751,1610612744,201142_201599_202681_203915_203925,201939_203952_1626162_1626172_1629672,3,3,6,5,1,2800,3600,80
0022000001,2020-12-22,1,4,1610612751,1610612744,201142_202681_203915_203925_1628386,201939_203145_1626162_1626172_1629672,3,3,6,5,4,3600,4390,79
0022000001,2020-12-22,1,7,1610612751,1610612744,201142_202681_1627747_1628386_1629013,201939_203145_1626162_1626172_1627814,3,3,6,0,4,4590,4520,-7
0022000001,2020-12-22,1,8,1610612751,1610612744,201145_202681_1627747_1628386_1629013,201939_203145_1626162_1626172_1627814,3,2,5,8,0,5490,5710,22
0022000001,2020-12-22,1,10,1610612751,1610612744,201145_1627747_1627752_1628386_1629013,201939_203145_203952_1626172_1627814,1,1,2,0,0,5710,5970,26
0022000001,2020-12-22,1,11,1610612751,1610612744,201145_1627747_1627752_1628386_1629013,201939_203145_203952_1627737_1627814,5,4,9,4,8,5970,6280,31
0022000001,2020-12-22,2,12,1610612751,1610612744,201145_1627747_1627752_1628386_1629013,202954_203952_1627737_1629672_1629673,5,6,11,4,3,14400,15860,146
0022000001,2020-12-22,2,13,1610612751,1610612744,203915_1627747_1627752_1628386_1629013,202954_203952_1627737_1629672_1629673,3,3,6,3,2,15860,16680,82
0022000001,2020-12-22,2,14,1610612751,1610612744,201599_203915_1627747_1627752_1629013,202954_203952_1627737_1629672_1629673,1,1,2,2,0,16680,16920,24
0022000001,2020-12-22,2,16,1610612751,1610612744,201599_203915_1627747_1627752_1629013,202954_203952_1629308_1629673_1630164,3,2,5,1,0,16920,17510,59
0022000001,2020-12-22,2,19,1610612751,1610612744,201142_201599_202681_203915_203925,202954_203952_1629308_1629673_1630164,0,2,2,0,0,17510,17810,30
0022000001,2020-12-22,2,21,1610612751,1610612744,201142_201599_202681_203915_203925,201939_202954_1626162_1629308_1630164,6,6,12,4,7,17950,19460,151
0022000001,2020-12-22,2,23,1610612751,1610612744,201142_201145_202681_203925_1627747,201939_202954_1626162_1629308_1630164,1,0,1,2,0,19460,19620,16
0022000001,2020-12-22,2,24,1610612751,1610612744,201142_201599_202681_203915_203925,202954_203952_1629308_1629673_1630164,1,0,1,0,0,17780,17780,0
0022000001,2020-12-22,2,25,1610612751,1610612744,201142_201145_202681_203925_1627747,201939_202954_1626162_1629308_1630164,0,1,1,0,0,19580,19580,0
0022000001,2020-12-22,2,26,1610612751,1610612744,201142_201145_202681_203925_1627747,201939_202954_203952_1626162_1630164,2,2,4,2,5,19620,20200,58
0022000001,2020-12-22,2,27,1610612751,1610612744,201142_201145_202681_203925_1627747,201939_203952_1626162_1629308_1630164,7,5,12,5,3,20200,21600,140
0022000001,2020-12-22,3,28,1610612751,1610612744,201142_201599_202681_203915_203925,201939_203952_1626162_1629308_1630164,9,10,19,14,4,28800,31230,243
0022000001,2020-12-22,3,31,1610612751,1610612744,201142_201599_202681_203915_203925,201939_203952_1626162_1626172_1629308,5,4,9,7,8,31320,32650,133
0022000001,2020-12-22,3,36,1610612751,1610612744,201142_202681_1627747_1628386_1629013,201939_203145_1626162_1626172_1629672,6,8,14,11,5,32650,34180,153
0022000001,2020-12-22,3,38,1610612751,1610612744,201145_1627747_1627752_1628386_1629013,201939_203145_1626162_1626172_1629672,2,3,5,0,4,34180,34830,65
0022000001,2020-12-22,3,40,1610612751,1610612744,201145_1627747_1627752_1628386_1629013,201939_203145_203952_1627737_1629672,3,6,9,4,5,34830,36000,117
0022000001,2020-12-22,3,42,1610612751,1610612744,201145_1627747_1627752_1628386_1629013,201939_203145_1626162_1626172_1629672,1,0,1,0,0,34600,34600,0
0022000001,2020-12-22,4,43,1610612751,1610612744,201145_1627747_1627752_1628386_1629013,202954_203952_1627737_1629672_1629673,8,7,15,11,6,43200,45740,254
0022000001,2020-12-22,4,46,1610612751,1610612744,201145_1627747_1627752_1629013_1629617,202954_203952_1627814_1629673_1630164,1,0,1,1,0,45740,45890,15
0022000001,2020-12-22,4,47,1610612751,1610612744,201145_1627747_1627752_1628971_1629617,202954_203952_1627814_1629673_1630164,1,2,3,0,1,45890,46440,55
0022000001,2020-12-22,4,48,1610612751,1610612744,201145_1627747_1627752_1628971_1629617,202954_1627814_1628539_1629673_1630164,0,0,0,1,0,46440,46440,0
0022000001,2020-12-22,4,50,1610612751,1610612744,1627747_1627789_1628971_1629066_1629617,202954_1627814_1628539_1629673_1630164,2,2,4,4,0,46440,46810,37
0022000001,2020-12-22,4,51,1610612751,1610612744,204020_1627789_1628971_1629066_1629617,202954_1627814_1628539_1629673_1630164,13,14,27,9,21,46810,50400,359
0022000010,2020-12-23,1,1,1610612739,1610612766,203083_1626204_1629012_1629636_1630171,202330_203469_1626179_1628984_1629023,9,10,19,11,4,0,2730,273
0022000010,2020-12-23,1,5,1610612739,1610612766,201580_1626204_1626224_1629636_1630171,202330_203469_1626179_1628970_1630163,2,3,5,3,3,2790,3480,69
0022000010,2020-12-23,1,7,1610612739,1610612766,201580_1626224_1629636_1629731_1630171,202330_202687_1626179_1628970_1630163,4,3,7,3,5,3480,4440,96
0022000010,2020-12-23,1,9,1610612739,1610612766,201580_1626224_1629012_1629685_1629731,202330_202687_1626179_1628970_1630163,1,1,2,2,3,4440,4980,54
0022000010,2020-12-23,1,11,1610612739,1610612766,201580_1626224_1629012_1629685_1629731,202687_1628970_1628984_1628998_1630163,2,3,5,2,4,5100,4980,-12
0022000010,2020-12-23,1,12,1610612739,1610612766,201580_1626204_1626224_1629012_1629685,202687_1628970_1628984_1628998_1630163,2,2,4,3,2,5510,6240,73
0022000010,2020-12-23,1,13,1610612739,1610612766,201580_1626204_1626224_1629012_1629685,202687_1628984_1628998_1629023_1630163,1,0,1,0,0,6240,6390,15
