game_id,game_date,period,stint_id,home_team_id,away_team_id,home_lineup,away_lineup,home_possessions,away_possessions,n_pos,home_points,away_points,start_game_clock,end_game_clock,seconds_played
0022200001,2022-10-18,1,1,1610612738,1610612755,201143_203935_1627759_1628369_1628401,200782_201935_202699_203954_1630178,7,8,15,9,6,0,2160,216
0022200001,2022-10-18,1,2,1610612738,1610612755,203935_203943_1627759_1628369_1628401,200782_201935_202699_203954_1630178,3,4,7,2,8,2260,3190,93
0022200001,2022-10-18,1,3,1610612738,1610612755,203935_203943_1627759_1628369_1629684,200782_201935_202699_203954_1630178,3,3,6,4,1,3190,4100,91
0022200001,2022-10-18,1,5,1610612738,1610612755,203935_203943_1627759_1627763_1629684,200782_201935_202699_1626149_1630178,3,3,6,2,3,4100,5010,91
0022200001,2022-10-18,1,8,1610612738,1610612755,201933_203935_1627759_1627763_1629684,201935_202699_1626149_1627863_1629001,0,2,2,0,4,5010,5490,48
0022200001,2022-10-18,1,11,1610612738,1610612755,201933_1627763_1628369_1628401_1629684,201935_1626149_1627777_1627863_1629001,6,6,12,6,7,5490,6990,150
0022200001,2022-10-18,1,13,1610612738,1610612755,201933_1627763_1628369_1628401_1629684,201935_1626149_1627777_1627863_1629001,0,1,1,0,0,6990,6990,0
0022200001,2022-10-18,1,14,1610612738,1610612755,201933_1627763_1628369_1628401_1629684,201935_1626149_1627863_1629001_1629680,0,0,0,1,0,7190,7190,0
0022200001,2022-10-18,1,17,1610612738,1610612755,201933_1627763_1628369_1628401_1629684,201935_1626149_1627863_1629001_1629680,1,0,1,0,0,7190,7190,0
0022200001,2022-10-18,1,18,1610612738,1610612755,203935_1627763_1628369_1628401_1629684,201935_1626149_1627863_1629001_1630178,1,0,1,0,0,7200,7200,0
0022200001,2022-10-18,2,19,1610612738,1610612755,201143_1627763_1628369_1628401_1629684,203954_1627777_1627863_1629001_1630178,3,2,5,6,5,14400,15480,108
0022200001,2022-10-18,2,20,1610612738,1610612755,201143_203943_1627763_1628369_1628401,203954_1627777_1627863_1629001_1630178,1,2,3,2,1,15480,15870,39
0022200001,2022-10-18,2,22,1610612738,1610612755,201143_203943_1627759_1627763_1628369,200782_203954_1627863_1629001_1630178,2,1,3,3,0,15870,16600,73
0022200001,2022-10-18,2,25,1610612738,1610612755,201143_203935_203943_1627759_1630573,200782_202699_203954_1629001_1630178,2,2,4,7,4,16600,17280,68
0022200001,2022-10-18,2,27,1610612738,1610612755,201143_203935_203943_1627759_1628369,200782_201935_202699_203954_1630178,7,7,14,10,16,17280,19480,220
0022200001,2022-10-18,2,28,1610612738,1610612755,203935_203943_1627759_1627763_1628369,200782_201935_202699_203954_1630178,3,4,7,5,3,19480,20340,86
0022200001,2022-10-18,2,30,1610612738,1610612755,201933_203935_1627759_1627763_1628369,200782_201935_202699_1626149_1630178,3,3,6,5,5,20340,21520,118
0022200001,2022-10-18,2,31,1610612738,1610612755,203935_1627759_1627763_1628369_1628401,200782_201935_202699_1626149_1630178,2,0,2,1,0,21520,21600,8
0022200001,2022-10-18,3,32,1610612738,1610612755,201143_203935_1627759_1628369_1628401,200782_201935_202699_203954_1630178,13,12,25,15,9,28800,31990,319
0022200001,2022-10-18,3,33,1610612738,1610612755,201143_203935_1627759_1628369_1628401,200782_201935_202699_203954_1629001,0,1,1,1,2,31990,32350,36
0022200001,2022-10-18,3,34,1610612738,1610612755,201143_203935_1627759_1627763_1628369,200782_201935_202699_203954_1629001,1,0,1,1,0,32350,32450,10
0022200001,2022-10-18,3,35,1610612738,1610612755,203935_203943_1627759_1627763_1628369,200782_201935_202699_203954_1629001,5,5,10,10,5,32450,33920,147
0022200001,2022-10-18,3,38,1610612738,1610612755,203935_1627759_1627763_1628369_1629684,201935_202699_1626149_1627863_1629001,3,3,6,3,3,33920,34830,91
0022200001,2022-10-18,3,39,1610612738,1610612755,203935_1627763_1628369_1628401_1629684,201935_202699_1626149_1627863_1629001,0,1,1,0,0,34830,34900,7
0022200001,2022-10-18,3,40,1610612738,1610612755,203935_1627763_1628369_1628401_1629684,201935_1626149_1627777_1627863_1629001,2,2,4,3,3,34900,35700,80
0022200001,2022-10-18,3,42,1610612738,1610612755,201933_203935_1627763_1628401_1629684,1626149_1627777_1627863_1629001_1630178,2,1,3,2,2,35700,35970,27
0022200001,2022-10-18,3,43,1610612738,1610612755,201933_203935_1627763_1628401_1629684,1626149_1627863_1629001_1629680_1630178,0,2,2,0,1,35970,36000,3
0022200001,2022-10-18,4,44,1610612738,1610612755,201933_1627763_1628401_1629684_1630573,203954_1627777_1627863_1629001_1630178,4,5,9,5,6,43200,44510,131
0022200001,2022-10-18,4,46,1610612738,1610612755,203943_1627759_1627763_1628401_1629684,203954_1627777_1627863_1629001_1630178,7,6,13,11,8,44510,46450,194
0022200001,2022-10-18,4,51,1610612738,1610612755,203935_203943_1627759_1628369_1629684,200782_201935_202699_203954_1630178,3,3,6,1,0,46450,47320,87
0022200001,2022-10-18,4,52,1610612738,1610612755,201143_203935_1627759_1628369_1629684,200782_201935_202699_203954_1630178,11,9,20,11,15,47430,50400,297
0022200010,2022-10-19,1,1,1610612750,1610612760,203497_1626156_1626157_1630162_1630183,1628983_1629026_1629652_1630197_1630581,14,14,28,14,9,0,4010,401
0022200010,2022-10-19,1,3,1610612750,1610612760,203937_1626156_1626157_1630162_1630183,1628983_1629026_1629652_1630544_1630581,4,3,7,4,4,4010,4440,43
0022200010,2022-10-19,1,6,1610612750,1610612760,203937_1626157_1629162_1630162_1630183,1628983_1629652_1630526_1630544_1631114,2,3,5,5,4,4440,5500,106
0022200010,2022-10-19,1,8,1610612750,1610612760,203937_1626157_1629162_1629669_1630162,1628983_1629647_1630526_1630544_1631114,3,2,5,6,2,5500,6200,70
0022200010,2022-10-19,1,10,1610612750,1610612760,203497_203937_1629162_1629669_1630162,1629647_1630526_1630544_1631114_1631172,3,3,6,3,3,6200,6820,62
0022200010,2022-10-19,1,11,1610612750,1610612760,203497_203937_1627752_1629162_1629669,1629647_1630526_1630544_1631114_1631172,4,2,6,3,0,6820,7200,38
0022200010,2022-10-19,2,12,1610612750,1610612760,203497_203937_1626156_1627752_1629669,1629647_1630526_1630544_1630581_1631172,4,5,9,5,11,14400,15980,158
0022200010,2022-10-19,2,13,1610612750,1610612760,203497_203937_1626156_1627752_1627854,1629647_1630526_1630544_1630581_1631172,2,2,4,2,0,15980,16650,67
0022200010,2022-10-19,2,15,1610612750,1610612760,203497_1626156_1627752_1627854_1630183,1629647_1630197_1630544_1630581_1631172,3,2,5,6,0,16650,17160,51
0022200010,2022-10-19,2,17,1610612750,1610612760,1626156_1626157_1627752_1627854_1630183,1629647_1629652_1630197_1630544_1630581,2,2,4,0,4,17160,17830,67
0022200010,2022-10-19,2,21,1610612750,1610612760,1626156_1626157_1627752_1627854_1630183,1628983_1629026_1629647_1629652_1630544,1,1,2,3,0,17850,18130,28
0022200010,2022-10-19,2,23,1610612750,1610612760,1626156_1626157_1627752_1630162_1630183,1628983_1629026_1629652_1630544_1631114,2,3,5,0,5,18200,18710,51
0022200010,2022-10-19,2,25,1610612750,1610612760,1626157_1627752_1629162_1630162_1630183,1628983_1629026_1629652_1630544_1630581,2,1,3,4,2,18910,19280,37
0022200010,2022-10-19,2,27,1610612750,1610612760,203497_1626157_1629162_1630162_1630183,203488_1628983_1629026_1629652_1630581,5,4,9,8,4,19280,20770,149
0022200010,2022-10-19,2,28,1610612750,1610612760,203497_1626157_1629162_1630162_1630183,203488_1628983_1629026_1629652_1630544,4,3,7,2,4,20770,21600,83
0022200010,2022-10-19,3,29,1610612750,1610612760,203497_1626156_1626157_1630162_1630183,1628983_1629652_1630197_1630526_1630581,9,8,17,11,8,28800,31230,243
0022200010,2022-10-19,3,30,1610612750,1610612760,203497_1626156_1626157_1630162_1630183,1628983_1629652_1630197_1630581_1630647,3,5,8,0,9,31230,32360,113
0022200010,2022-10-19,3,31,1610612750,1610612760,203937_1626156_1626157_1630162_1630183,1628983_1629652_1630197_1630581_1630647,1,1,2,0,3,32360,32810,45
0022200010,2022-10-19,3,32,1610612750,1610612760,203937_1626156_1626157_1629669_1630162,1628983_1629652_1630197_1630581_1630647,2,0,2,0,1,32810,33400,59
0022200010,2022-10-19,3,34,1610612750,1610612760,203937_1626156_1626157_1627752_1629669,1628983_1629652_1630197_1630544_1630647,0,1,1,1,1,33400,33500,10
0022200010,2022-10-19,3,35,1610612750,1610612760,203937_1626156_1626157_1627752_1629669,1628983_1629647_1630197_1630544_1630647,5,4,9,4,7,33500,34690,119
0022200010,2022-10-19,3,38,1610612750,1610612760,203497_203937_1627752_1629162_1629669,1628983_1629026_1629647_1630544_1630647,3,4,7,0,6,34690,35600,91
0022200010,2022-10-19,3,41,1610612750,1610612760,203497_203937_1629669_1630162_1630183,1628983_1629026_1629647_1630544_1631172,1,1,2,3,0,35600,35890,29
0022200010,2022-10-19,3,45,1610612750,1610612760,203497_203937_1629669_1630162_1630183,1628983_1629026_1629647_1630544_1631172,1,0,1,1,0,35890,35890,0
0022200010,2022-10-19,3,46,1610612750,1610612760,203085_203497_203937_1629669_1630183,203488_1628983_1629026_1630198_1630544,2,1,3,2,0,35970,36000,3
