game_id,game_date,period,stint_id,home_team_id,away_team_id,home_lineup,away_lineup,home_possessions,away_possessions,n_pos,home_points,away_points,start_game_clock,end_game_clock,seconds_played
0021700001,2017-10-17,1,1,1610612739,1610612738,2544_2548_201565_201567_203109,201143_202330_202681_1627759_1628369,9,9,18,9,10,0,2780,278
0021700001,2017-10-17,1,2,1610612739,1610612738,2544_2548_201565_202684_203109,201143_202330_202681_1627759_1628369,1,2,3,0,2,2780,3150,37
0021700001,2017-10-17,1,3,1610612739,1610612738,2544_2548_201565_202684_203109,201143_202681_203935_1627759_1628369,1,1,2,0,0,3150,3500,35
0021700001,2017-10-17,1,4,1610612739,1610612738,2544_2747_201565_202684_203109,201143_202681_203935_1627759_1628369,5,5,10,6,4,3500,4540,104
0021700001,2017-10-17,1,6,1610612739,1610612738,2544_2747_202684_202697_203109,202681_203382_203935_1627759_1628369,4,4,8,7,1,4540,5620,108
0021700001,2017-10-17,1,10,1610612739,1610612738,2548_2747_201145_202684_202697,203382_203935_1626179_1627759_1628400,6,3,9,6,2,5620,6790,117
0021700001,2017-10-17,1,11,1610612739,1610612738,2548_2747_201145_202684_202697,201143_203382_203935_1626179_1628400,1,0,1,1,0,6790,6790,0
0021700001,2017-10-17,1,13,1610612739,1610612738,2548_2747_201145_202684_202697,201143_203382_203935_1626179_1628400,2,1,3,0,0,6950,7200,25
0021700001,2017-10-17,2,15,1610612739,1610612738,2594_201145_201565_201567_202697,201143_203382_203935_1626179_1628369,1,1,2,1,2,14400,14900,50
0021700001,2017-10-17,2,16,1610612739,1610612738,2544_2594_201145_201565_201567,201143_203382_203935_1626179_1628369,1,1,2,0,0,14900,15120,22
0021700001,2017-10-17,2,17,1610612739,1610612738,2544_2594_201145_201565_201567,201143_202681_203382_1626179_1628369,3,2,5,4,0,15120,15910,79
0021700001,2017-10-17,2,18,1610612739,1610612738,2544_2594_201145_201565_201567,201143_202681_1626179_1628369_1628400,2,2,4,0,4,15910,16560,65
0021700001,2017-10-17,2,19,1610612739,1610612738,2544_2594_201565_201567_203109,201143_202681_1626179_1628369_1628400,1,1,2,2,0,16560,17020,46
0021700001,2017-10-17,2,21,1610612739,1610612738,2544_2594_201565_201567_203109,201143_202681_203935_1627759_1628400,1,1,2,3,0,17020,17370,35
0021700001,2017-10-17,2,22,1610612739,1610612738,2544_2747_201565_201567_203109,201143_202681_203935_1627759_1628400,4,5,9,5,5,17370,18300,93
0021700001,2017-10-17,2,24,1610612739,1610612738,2544_2548_2747_201567_203109,202681_203382_203935_1627759_1628400,4,3,7,4,0,18300,19520,122
0021700001,2017-10-17,2,26,1610612739,1610612738,2544_2548_2747_202684_203109,202681_203382_203935_1627759_1628369,6,7,13,5,8,19520,21430,191
0021700001,2017-10-17,2,27,1610612739,1610612738,2544_2548_2747_202684_203109,201143_202681_203935_1627759_1628369,2,0,2,1,0,21430,21600,17
0021700001,2017-10-17,3,28,1610612739,1610612738,2544_2548_201565_201567_203109,201143_202681_203935_1627759_1628369,16,15,31,11,19,28800,32700,390
0021700001,2017-10-17,3,30,1610612739,1610612738,2544_2747_201565_201567_203109,202681_203935_1626179_1627759_1628369,0,1,1,0,1,32700,32700,0
0021700001,2017-10-17,3,31,1610612739,1610612738,2544_2747_201565_201567_203109,202681_203382_1626179_1627759_1628369,4,4,8,2,5,32830,34000,117
0021700001,2017-10-17,3,35,1610612739,1610612738,2747_201145_201565_202684_203109,203382_203499_203935_1626179_1628369,2,2,4,2,0,34000,34580,58
0021700001,2017-10-17,3,36,1610612739,1610612738,2594_2747_201145_201565_202684,203382_203499_203935_1626179_1628369,1,0,1,0,0,34580,34700,12
0021700001,2017-10-17,3,37,1610612739,1610612738,2594_2747_201145_201565_202684,201143_203499_203935_1626179_1628369,6,5,11,3,8,34700,36000,130
0021700001,2017-10-17,4,38,1610612739,1610612738,2544_2747_201145_202684_202697,201143_203499_203935_1626179_1627759,2,2,4,4,3,43200,44090,89
0021700001,2017-10-17,4,39,1610612739,1610612738,2544_2747_201145_202684_202697,201143_202681_203935_1626179_1627759,2,3,5,2,5,44090,45120,103
0021700001,2017-10-17,4,41,1610612739,1610612738,2544_2548_201145_202684_202697,202681_203382_203935_1626179_1627759,3,2,5,4,4,45120,46000,88
0021700001,2017-10-17,4,44,1610612739,1610612738,2544_2548_201567_202697_203109,202681_203382_1626179_1627759_1628369,5,4,9,4,4,46000,47290,129
0021700001,2017-10-17,4,46,1610612739,1610612738,2544_2548_201565_201567_203109,201143_202681_1626179_1627759_1628369,1,0,1,0,0,47290,47420,13
0021700001,2017-10-17,4,47,1610612739,1610612738,2544_2548_201565_201567_203109,201143_202681_203935_1627759_1628369,5,6,11,9,11,47420,49370,195
0021700001,2017-10-17,4,49,1610612739,1610612738,2544_2548_201565_201567_203109,201143_202681_203935_1627759_1628369,0,0,0,1,0,49370,49370,0
0021700001,2017-10-17,4,50,1610612739,1610612738,2544_2548_201567_202697_203109,202681_203382_1626179_1627759_1628369,0,1,1,0,0,47290,47290,0
0021700001,2017-10-17,4,51,1610612739,1610612738,2544_2548_201565_201567_203109,201143_202681_203935_1627759_1628369,3,2,5,6,0,49370,49940,57
